Event,NOC,Pos.,Year,Discipline,Gender Cleaned,Event Cleaned
"Eights, Men",USA,1,1964,Rowing,Men,Eights
"Eights, Men",GER,2,1964,Rowing,Men,Eights
"Eights, Men",TCH,3,1964,Rowing,Men,Eights
"Single Sculls, Men",URS,1,1964,Rowing,Men,Single Sculls
"Single Sculls, Men",GER,2,1964,Rowing,Men,Single Sculls
"Single Sculls, Men",SUI,3,1964,Rowing,Men,Single Sculls
"5.5 metres, Open",AUS,1,1964,Sailing,Open,5.5 metres
"5.5 metres, Open",SWE,2,1964,Sailing,Open,5.5 metres
"5.5 metres, Open",USA,3,1964,Sailing,Open,5.5 metres
"One Person Dinghy, Open",GER,1,1964,Sailing,Open,One Person Dinghy
"One Person Dinghy, Open",USA,2,1964,Sailing,Open,One Person Dinghy
"One Person Dinghy, Open",DEN,3,1964,Sailing,Open,One Person Dinghy
"Three Person Keelboat, Open",DEN,1,1964,Sailing,Open,Three Person Keelboat
"Three Person Keelboat, Open",GER,2,1964,Sailing,Open,Three Person Keelboat
"Three Person Keelboat, Open",USA,3,1964,Sailing,Open,Three Person Keelboat
"Two Person Heavyweight Dinghy, Open",NZL,1,1964,Sailing,Open,Two Person Heavyweight Dinghy
"Two Person Heavyweight Dinghy, Open",GBR,2,1964,Sailing,Open,Two Person Heavyweight Dinghy
"Two Person Heavyweight Dinghy, Open",USA,3,1964,Sailing,Open,Two Person Heavyweight Dinghy
"Two Person Keelboat, Open",BAH,1,1964,Sailing,Open,Two Person Keelboat
"Two Person Keelboat, Open",USA,2,1964,Sailing,Open,Two Person Keelboat
"Two Person Keelboat, Open",SWE,3,1964,Sailing,Open,Two Person Keelboat
"Free Pistol, 50 metres, Men",FIN,1,1964,Shooting,Men,"Free Pistol, 50 metres"
"Free Pistol, 50 metres, Men",USA,2,1964,Shooting,Men,"Free Pistol, 50 metres"
